# file...... wh_1.csv
# date...... Fri Feb 12 19:48:59 2021
# user...... midrar
# host...... (null)
# target.... waterheater 24
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,load_state,heatgain,height,tank_setpoint,waterheater_model,energy,water_demand,temperature,is_waterheater_on
2020-01-01 00:00:00 UTC,DEPLETING,+167.967,+3.78239,+119,ONEZNODE,+0+0i,+0,+120,+0
2020-01-01 00:00:30 UTC,DEPLETING,+167.884,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.997,+0
2020-01-01 00:01:00 UTC,DEPLETING,+167.806,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.993,+0
2020-01-01 00:01:30 UTC,DEPLETING,+167.732,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.99,+0
2020-01-01 00:02:00 UTC,DEPLETING,+167.663,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.987,+0
2020-01-01 00:02:30 UTC,DEPLETING,+167.598,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.983,+0
2020-01-01 00:03:00 UTC,DEPLETING,+167.536,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.98,+0
2020-01-01 00:03:30 UTC,DEPLETING,+167.478,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.977,+0
2020-01-01 00:04:00 UTC,DEPLETING,+167.423,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.973,+0
2020-01-01 00:04:30 UTC,DEPLETING,+167.37,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.97,+0
2020-01-01 00:05:00 UTC,DEPLETING,+167.32,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.967,+0
2020-01-01 00:05:30 UTC,DEPLETING,+167.272,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.963,+0
2020-01-01 00:06:00 UTC,DEPLETING,+167.226,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.96,+0
2020-01-01 00:06:30 UTC,DEPLETING,+167.182,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.956,+0
2020-01-01 00:07:00 UTC,DEPLETING,+167.14,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.953,+0
2020-01-01 00:07:30 UTC,DEPLETING,+167.099,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.95,+0
2020-01-01 00:08:00 UTC,DEPLETING,+167.06,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.946,+0
2020-01-01 00:08:30 UTC,DEPLETING,+167.022,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.943,+0
2020-01-01 00:09:00 UTC,DEPLETING,+166.985,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.94,+0
2020-01-01 00:09:30 UTC,DEPLETING,+166.949,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.936,+0
2020-01-01 00:10:00 UTC,DEPLETING,+166.914,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.933,+0
2020-01-01 00:10:30 UTC,DEPLETING,+166.88,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.93,+0
2020-01-01 00:11:00 UTC,DEPLETING,+166.847,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.926,+0
2020-01-01 00:11:30 UTC,DEPLETING,+166.815,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.923,+0
2020-01-01 00:12:00 UTC,DEPLETING,+166.783,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.92,+0
2020-01-01 00:12:30 UTC,DEPLETING,+166.752,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.916,+0
2020-01-01 00:13:00 UTC,DEPLETING,+166.722,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.913,+0
2020-01-01 00:13:30 UTC,DEPLETING,+166.692,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.91,+0
2020-01-01 00:14:00 UTC,DEPLETING,+166.662,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.906,+0
2020-01-01 00:14:30 UTC,DEPLETING,+166.633,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.903,+0
2020-01-01 00:15:00 UTC,DEPLETING,+166.605,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.9,+0
2020-01-01 00:15:30 UTC,DEPLETING,+166.576,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.896,+0
2020-01-01 00:16:00 UTC,DEPLETING,+166.548,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.893,+0
2020-01-01 00:16:30 UTC,DEPLETING,+166.521,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.89,+0
2020-01-01 00:17:00 UTC,DEPLETING,+166.493,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.887,+0
2020-01-01 00:17:30 UTC,DEPLETING,+166.466,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.883,+0
2020-01-01 00:18:00 UTC,DEPLETING,+166.439,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.88,+0
2020-01-01 00:18:30 UTC,DEPLETING,+166.413,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.877,+0
2020-01-01 00:19:00 UTC,DEPLETING,+166.386,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.873,+0
2020-01-01 00:19:30 UTC,DEPLETING,+166.36,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.87,+0
2020-01-01 00:20:00 UTC,DEPLETING,+166.334,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.867,+0
2020-01-01 00:20:30 UTC,DEPLETING,+166.308,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.863,+0
2020-01-01 00:21:00 UTC,DEPLETING,+166.282,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.86,+0
2020-01-01 00:21:30 UTC,DEPLETING,+166.256,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.857,+0
2020-01-01 00:22:00 UTC,DEPLETING,+166.231,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.853,+0
2020-01-01 00:22:30 UTC,DEPLETING,+166.205,+3.78239,+119,ONEZNODE,+0+0i,+0,+119.85,+0
